2022-02-28 08:35:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:35:47 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 20024 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:35:47 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
2022-02-28 08:35:47 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-28 08:35:47 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-28 08:35:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-28 08:35:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-28 08:35:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2022-02-28 08:35:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:35:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$6cfff3b7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:35:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:35:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:35:48 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9989 (http)
2022-02-28 08:35:48 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9989"]
2022-02-28 08:35:48 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-28 08:35:48 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-02-28 08:35:48 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/pony] - Initializing Spring embedded WebApplicationContext
2022-02-28 08:35:48 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1261 ms
2022-02-28 08:35:49 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2022-02-28 08:35:54 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2022-02-28 08:35:54 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-02-28 08:43:34 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:43:34 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 11220 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:43:34 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
2022-02-28 08:43:34 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-28 08:43:34 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-28 08:43:34 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-28 08:43:34 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-28 08:43:34 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2022-02-28 08:43:35 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9989 (http)
2022-02-28 08:43:35 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9989"]
2022-02-28 08:43:35 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-28 08:43:35 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-02-28 08:43:35 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/pony] - Initializing Spring embedded WebApplicationContext
2022-02-28 08:43:35 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1126 ms
2022-02-28 08:43:35 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2022-02-28 08:43:35 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-02-28 08:44:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:44:15 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 5396 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:44:15 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
2022-02-28 08:44:15 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-28 08:44:15 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-28 08:44:16 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-28 08:44:16 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-28 08:44:16 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2022-02-28 08:44:16 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9989 (http)
2022-02-28 08:44:16 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9989"]
2022-02-28 08:44:16 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-28 08:44:16 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-02-28 08:44:16 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/pony] - Initializing Spring embedded WebApplicationContext
2022-02-28 08:44:16 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1114 ms
2022-02-28 08:44:17 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2022-02-28 08:44:17 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-02-28 08:50:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:50:48 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 19672 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:50:48 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
2022-02-28 08:50:48 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-28 08:50:48 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-28 08:50:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-28 08:50:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-28 08:50:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2022-02-28 08:50:49 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9989 (http)
2022-02-28 08:50:49 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9989"]
2022-02-28 08:50:49 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-28 08:50:49 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-02-28 08:50:49 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/pony] - Initializing Spring embedded WebApplicationContext
2022-02-28 08:50:49 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1203 ms
2022-02-28 08:50:49 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2022-02-28 08:50:49 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-02-28 08:55:24 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:55:24 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 11836 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:55:24 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
2022-02-28 08:55:24 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-28 08:55:24 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-28 08:55:25 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-28 08:55:25 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-28 08:55:25 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2022-02-28 08:55:25 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:25 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$b25d6d8f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:25 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:25 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-28 08:55:25 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9989 (http)
2022-02-28 08:55:25 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9989"]
2022-02-28 08:55:25 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-28 08:55:25 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-02-28 08:55:25 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/pony] - Initializing Spring embedded WebApplicationContext
2022-02-28 08:55:25 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1239 ms
2022-02-28 08:55:26 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2022-02-28 08:55:27 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2022-02-28 08:55:27 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-02-28 08:55:57 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-28 08:55:57 [restartedMain] INFO  top.lcywings.pony.PonyApplication - Starting PonyApplication using Java 1.8.0_251 on DESKTOP-MG71CNU with PID 8156 (G:\Lcywings\YuyiProject\Lcywings\target\classes started by kcidea-2020 in G:\Lcywings\YuyiProject\Lcywings)
2022-02-28 08:55:57 [restartedMain] INFO  top.lcywings.pony.PonyApplication - The following profiles are active: dev
2022-02-28 08:55:57 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-28 08:55:57 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-28 08:55:58 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
